Name,Type1,Type2
bulbasaur,grass,poison
ivysaur,grass,poison
venusaur,grass,poison
charmander,fire,none
charmeleon,fire,none
charizard,fire,flying
squirtle,water,none
wartortle,water,none
blastoise,water,none
caterpie,bug,none
metapod,bug,none
butterfree,bug,flying
weedle,bug,poison
kakuna,bug,poison
beedrill,bug,poison
pidgey,normal,flying
pidgeotto,normal,flying
pidgeot,normal,flying
rattata,normal,none
raticate,normal,none
spearow,normal,flying
fearow,normal,flying
ekans,poison,none
arbok,poison,none
pikachu,electric,none
raichu,electric,none
sandshrew,ground,none
sandslash,ground,none
nidoran-f,poison,none
nidorina,poison,none
nidoqueen,poison,ground
nidoran-m,poison,none
nidorino,poison,none
nidoking,poison,ground
clefairy,fairy,none
clefable,fairy,none
vulpix,fire,none
ninetales,fire,none
jigglypuff,normal,fairy
wigglytuff,normal,fairy
zubat,poison,flying
golbat,poison,flying
oddish,grass,poison
gloom,grass,poison
vileplume,grass,poison
paras,bug,grass
parasect,bug,grass
venonat,bug,poison
venomoth,bug,poison
diglett,ground,none
dugtrio,ground,none
meowth,normal,none
persian,normal,none
psyduck,water,none
golduck,water,none
mankey,fighting,none
primeape,fighting,none
growlithe,fire,none
arcanine,fire,none
poliwag,water,none
poliwhirl,water,none
poliwrath,water,fighting
abra,psychic,none
kadabra,psychic,none
alakazam,psychic,none
machop,fighting,none
machoke,fighting,none
machamp,fighting,none
bellsprout,grass,poison
weepinbell,grass,poison
victreebel,grass,poison
tentacool,water,poison
tentacruel,water,poison
geodude,rock,ground
graveler,rock,ground
golem,rock,ground
ponyta,fire,none
rapidash,fire,none
slowpoke,water,psychic
slowbro,water,psychic
magnemite,electric,steel
magneton,electric,steel
farfetchd,normal,flying
doduo,normal,flying
dodrio,normal,flying
seel,water,none
dewgong,water,ice
grimer,poison,none
muk,poison,none
shellder,water,none
cloyster,water,ice
gastly,ghost,poison
haunter,ghost,poison
gengar,ghost,poison
onix,rock,ground
drowzee,psychic,none
hypno,psychic,none
krabby,water,none
kingler,water,none
voltorb,electric,none
electrode,electric,none
exeggcute,grass,psychic
exeggutor,grass,psychic
cubone,ground,none
marowak,ground,none
hitmonlee,fighting,none
hitmonchan,fighting,none
lickitung,normal,none
koffing,poison,none
weezing,poison,none
rhyhorn,ground,rock
rhydon,ground,rock
chansey,normal,none
tangela,grass,none
kangaskhan,normal,none
horsea,water,none
seadra,water,none
goldeen,water,none
seaking,water,none
staryu,water,none
starmie,water,psychic
mr-mime,psychic,fairy
scyther,bug,flying
jynx,ice,psychic
electabuzz,electric,none
magmar,fire,none
pinsir,bug,none
tauros,normal,none
magikarp,water,none
gyarados,water,flying
lapras,water,ice
ditto,normal,none
eevee,normal,none
vaporeon,water,none
jolteon,electric,none
flareon,fire,none
porygon,normal,none
omanyte,rock,water
omastar,rock,water
kabuto,rock,water
kabutops,rock,water
aerodactyl,rock,flying
snorlax,normal,none
articuno,ice,flying
zapdos,electric,flying
moltres,fire,flying
dratini,dragon,none
dragonair,dragon,none
dragonite,dragon,flying
mewtwo,psychic,none
mew,psychic,none
chikorita,grass,none
bayleef,grass,none
meganium,grass,none
cyndaquil,fire,none
quilava,fire,none
typhlosion,fire,none
totodile,water,none
croconaw,water,none
feraligatr,water,none
sentret,normal,none
furret,normal,none
hoothoot,normal,flying
noctowl,normal,flying
ledyba,bug,flying
ledian,bug,flying
