Season,Date,Location,Opponent,Result,IlliniScore,OpponentScore,Note1,Note2,Note3
2015,5-Sep-15,vs.,Kent State,W,52,3,,,
2015,12-Sep-15,vs.,Western Illinois,W,44,0,,,
2015,19-Sep-15,@,North Carolina,L,14,48,,,
2015,26-Sep-15,vs.,Middle Tennessee State,W,27,25,,,
2015,3-Oct-15,vs.,Nebraska,W,14,13,,,
2015,10-Oct-15,@,Iowa,L,20,29,,,
2015,24-Oct-15,vs.,Wisconsin,L,13,24,,,
2015,31-Oct-15,@,Penn State,L,0,39,,,
2015,7-Nov-15,@,Purdue,W,48,14,,,
2015,14-Nov-15,vs.,Ohio State,L,3,28,,,
2015,21-Nov-15,@,Minnesota,L,23,32,,,
2015,28-Nov-15,vs.,Northwestern,L,14,24,@ Chicago,IL,
2014,30-Aug,vs.,Youngstown State,W,28,17,,,
2014,6-Sep,vs.,Western Kentucky,W,42,34,,,
2014,13-Sep,@,Washington,L,19,44,,,
2014,20-Sep,vs.,Texas State,W,42,35,,,
2014,27-Sep,@,Nebraska,L,14,45,,,
2014,4-Oct,vs.,Purdue,L,27,38,,,
2014,11-Oct,@,Wisconsin,L,28,38,,,
2014,25-Oct,vs.,Minnesota,W,28,24,,,
2014,1-Nov,@,Ohio State,L,14,55,,,
2014,15-Nov,vs.,Iowa,L,14,30,,,
2014,22-Nov,vs.,Penn State,W,16,14,,,
2014,29-Nov,@,Northwestern,W,47,33,,,
2014,26-Dec,vs.,Louisiana Tech,L,18,35,@ Dallas, TX,Heart of Dallas Bowl
2013,31-Aug,vs.,Southern Illinois,W,42,34,,,
2013,7-Sep,vs.,Cincinnati,W,45,17,,,
2013,14-Sep,vs.,Washington,L,24,34,@ Chicago, IL,
2013,28-Sep,vs.,Miami,W,50,14,,,
2013,5-Oct,@,Nebraska,L,19,39,,,
2013,19-Oct,vs.,Wisconsin,L,32,56,,,
2013,26-Oct,vs.,Michigan State,L,3,42,,,
2013,2-Nov,@,Penn State,L,17,24,,,
2013,9-Nov,@,Indiana,L,35,52,,,
2013,16-Nov,vs.,Ohio State,L,35,60,,,
2013,23-Nov,@,Purdue,W,20,16,,,
2013,30-Nov,vs.,Northwestern,L,34,37,,,
2012,1-Sep,vs.,Western Michigan,W,24,7,,,
2012,8-Sep,@,Arizona State,L,14,45,,,
2012,15-Sep,vs.,Charleston Southern,W,44,0,,,
2012,22-Sep,vs.,Louisiana Tech,L,24,52,,,
2012,29-Sep,vs.,Penn State,L,7,35,,,
2012,6-Oct,@,Wisconsin,L,14,31,,,
2012,13-Oct,@,Michigan,L,0,45,,,
2012,27-Oct,vs.,Indiana,L,17,31,,,
2012,3-Nov,@,Ohio State,L,22,52,,,
2012,10-Nov,vs.,Minnesota,L,3,17,,,
2012,17-Nov,vs.,Purdue,L,17,20,,,
2012,24-Nov,@,Northwestern,L,14,50,,,
2011,3-Sep,vs.,Arkansas State,W,33,15,,,
2011,10-Sep,vs.,South Dakota State,W,56,3,,,
2011,17-Sep,vs.,Arizona State,W,17,14,,,
2011,24-Sep,vs.,Western Michigan,W,23,20,,,
2011,1-Oct,vs.,Northwestern,W,38,35,,,
2011,8-Oct,@,Indiana,W,41,20,,,
2011,15-Oct,vs.,Ohio State,L,7,17,,,
2011,22-Oct,@,Purdue,L,14,21,,,
2011,29-Oct,@,Penn State,L,7,10,,,
2011,12-Nov,vs.,Michigan,L,14,31,,,
2011,19-Nov,vs.,Wisconsin,L,17,28,,,
2011,26-Nov,@,Minnesota,L,7,27,,,
2011,31-Dec,vs.,UCLA,W,20,14,@ San Francisco, CA,Fight Hunger Bowl
2010,4-Sep,vs.,Missouri,L,13,23,@ St. Louis, MO,
2010,11-Sep,vs.,Southern Illinois,W,35,3,,,
2010,18-Sep,vs.,Northern Illinois,W,28,22,,,
2010,2-Oct,vs.,Ohio State,L,13,24,,,
2010,9-Oct,@,Penn State,W,33,13,,,
2010,16-Oct,@,Michigan State,L,6,26,,,
2010,23-Oct,vs.,Indiana,W,43,13,,,
2010,30-Oct,vs.,Purdue,W,44,10,,,
2010,6-Nov,@,Michigan,L,65,67,,,
2010,13-Nov,vs.,Minnesota,L,34,38,,,
2010,20-Nov,vs.,Northwestern,W,48,27,@ Chicago, IL,
2010,3-Dec,@,Fresno State,L,23,25,,,
2010,29-Dec,vs.,Baylor,W,38,14,@ Houston, TX,Texas Bowl
