Season,Tm,FG,FGA,FG%,3P,3PA,3P%,Less than 8ft. usage %,8-16 feet usage %,16-24 feet usage %,24+ feet usage %,Back Court Shots usage %,Avg. Shot Dis.(ft.)
2016-17,ATL,38.6,84.3,0.458,8.7,26.1,0.333,40.43,13.64,15.14,30.73,0.06,12.64
2015-16,ATL,38.6,84.4,0.458,9.9,28.4,0.35,41.75,10.71,13.84,33.45,0.25,12.76
2014-15,ATL,38.1,81.7,0.466,10,26.2,0.38,41.85,10.93,15.09,32.08,0.04,12.75
2013-14,ATL,37.3,81.6,0.458,9.4,25.8,0.363,39.91,13.98,14.48,31.43,0.19,12.91
2012-13,ATL,37.6,81,0.464,8.6,23.2,0.371,40.43,10.19,20.77,28.42,0.2,12.95
2011-12,ATL,36.8,81,0.454,7.5,20.2,0.37,40.03,10.42,24.68,24.68,0.19,12.76
2010-11,ATL,36.2,78.4,0.462,6.1,17.4,0.352,36.76,13.69,27.36,21.98,0.2,13.03
2009-10,ATL,38.8,82.9,0.468,6.4,17.7,0.36,42.54,12.43,23.67,21.09,0.28,11.85
2008-09,ATL,36,78.7,0.458,7.3,19.9,0.366,38.22,14.58,21.93,24.96,0.31,12.84
2007-08,ATL,36.3,79.9,0.454,4.7,13.1,0.356,43.25,14.27,26.08,16.04,0.35,11.17
2006-07,ATL,34.5,77.7,0.444,4.2,12.7,0.329,42.67,11.66,29.43,16.07,0.17,11.36
2005-06,ATL,35.9,79.2,0.454,5.2,14.1,0.367,45.15,14.04,23.03,17.53,0.25,11
2004-05,ATL,35.9,81.4,0.441,3.7,11.9,0.312,48.5,16.55,20.37,14.24,0.34,10.05
2003-04,ATL,34.5,79.6,0.433,5.1,15.2,0.335,41.33,18.91,20.49,19.21,0.06,11.32
2002-03,ATL,34.9,78.5,0.444,4.9,13.9,0.352,38.37,22.46,21.46,17.45,0.25,11.57
2001-02,ATL,35.4,80.6,0.439,5.2,14.6,0.354,44.24,18.6,19.14,17.88,0.14,10.8
2000-01,ATL,35.1,81.3,0.431,4.1,11.4,0.357,39.48,26.81,19.62,13.84,0.24,11.02
1999-00,ATL,36.6,83,0.441,3.1,9.9,0.317,37.02,29.35,21.72,11.66,0.25,11.1
1998-99,ATL,30.8,75.2,0.409,3.9,12.9,0.306,40.1,22.17,20.64,16.73,0.35,11.4
1997-98,ATL,35.2,77.5,0.455,4.1,12.4,0.332,44.06,22.58,17.45,15.72,0.2,10.51
1996-97,ATL,34.3,76.9,0.446,8,22.4,0.359,40.95,16.55,25.08,17.19,0.22,11.57
1995-96,ATL,36.4,81.3,0.448,6.9,19.5,0.355,0,0,0,0,0,0
1994-95,ATL,36.4,81.5,0.447,6.6,19.3,0.341,0,0,0,0,0,0
1993-94,ATL,39.6,85.8,0.461,3.3,10.1,0.323,0,0,0,0,0,0
1992-93,ATL,41.4,88.7,0.466,4.7,13.1,0.355,0,0,0,0,0,0
1991-92,ATL,42.6,91.2,0.467,2.6,8.2,0.313,0,0,0,0,0,0
1990-91,ATL,40.8,88.1,0.464,3.3,10.2,0.324,0,0,0,0,0,0
1989-90,ATL,41.7,85.6,0.487,1.5,5,0.302,0,0,0,0,0,0
1988-89,ATL,41.6,88.2,0.472,1.3,4.8,0.277,0,0,0,0,0,0
1987-88,ATL,42,86.6,0.485,1,3.4,0.301,0,0,0,0,0,0
1986-87,ATL,41.9,87.1,0.481,1.6,5.2,0.318,0,0,0,0,0,0
1985-86,ATL,42,85.7,0.49,0.4,2,0.199,0,0,0,0,0,0
1984-85,ATL,42,86.8,0.484,0.9,2.9,0.311,0,0,0,0,0,0
1983-84,ATL,39.4,83,0.474,0.3,1.3,0.217,0,0,0,0,0,0
1982-83,ATL,40.9,87.1,0.469,0.5,2.3,0.239,0,0,0,0,0,0
1981-82,ATL,39.1,82.6,0.474,0.3,1.6,0.219,0,0,0,0,0,0
1980-81,ATL,40.1,83.7,0.479,0.1,1,0.122,0,0,0,0,0,0
1979-80,ATL,39.8,85.7,0.464,0.2,0.9,0.173,0,0,0,0,0,0
2016-17,BOS,38.8,86.3,0.449,11.3,31.2,0.361,40.79,9.79,13.21,35.82,0.39,13.42
2015-16,BOS,39.2,89.2,0.439,8.7,26.1,0.335,42.73,12.51,15.55,29,0.21,12.43
2014-15,BOS,38.9,87.9,0.443,8,24.6,0.327,39.64,13.03,19.33,27.79,0.22,12.84
2013-14,BOS,36.5,83.9,0.435,7,21.1,0.333,39.44,13.56,21.89,24.89,0.22,12.77
2012-13,BOS,37,79.7,0.465,6.1,17.2,0.358,38.49,16.1,23.88,21.15,0.37,12.39
2011-12,BOS,35.5,77.1,0.46,5.5,15,0.367,36.28,17.72,26.58,19.31,0.12,12.41
2010-11,BOS,36.9,75.8,0.486,5,13.6,0.365,42.11,14.52,25.37,17.86,0.13,11.58
2009-10,BOS,37.1,76.8,0.483,6.1,17.5,0.348,44.56,14,18.63,22.57,0.24,11.47
2008-09,BOS,37.5,77.2,0.486,6.6,16.5,0.397,42.35,14.01,22.26,21.27,0.11,11.66
2007-08,BOS,36.4,76.7,0.475,7.3,19.1,0.381,41,13.09,21.01,24.61,0.29,12.24
2006-07,BOS,34.9,78.7,0.443,5.7,15.6,0.367,43.43,13.67,23.04,19.57,0.29,11.61
2005-06,BOS,36,77.1,0.467,5.7,15.7,0.362,43.57,13.33,22.71,20.11,0.29,11.55
2004-05,BOS,37.1,79.4,0.468,5.3,15.3,0.349,45.56,13.99,21.24,18.95,0.25,10.96
2003-04,BOS,34.7,78.2,0.443,6.7,19.5,0.346,38.24,14.64,22.21,24.68,0.23,12.62
2002-03,BOS,32.9,79.4,0.415,8.8,26.3,0.334,37.02,14.87,14.96,32.81,0.34,13.34
2001-02,BOS,34.8,82.1,0.424,8.5,23.7,0.359,39.21,13.7,18.21,28.54,0.34,12.82
2000-01,BOS,33.8,79.1,0.428,7.2,19.9,0.363,42.08,14.76,17.98,24.92,0.26,12.11
1999-00,BOS,37.2,83.9,0.444,5.1,15.4,0.331,45.64,17.66,18.44,18.14,0.12,10.94
1998-99,BOS,36.3,83.3,0.436,5.5,15.2,0.36,44.45,19.09,18.35,17.96,0.14,10.95
1997-98,BOS,36.7,84.6,0.434,5.1,15.2,0.332,44.22,16.47,21.29,17.84,0.19,11.13
1996-97,BOS,37.4,85,0.44,5.7,16.2,0.351,56.72,13.88,17.54,11.81,0.06,8.26
1995-96,BOS,38.6,84.7,0.456,6.6,17.7,0.371,0,0,0,0,0,0
1994-95,BOS,38.8,83.5,0.464,4.4,12,0.368,0,0,0,0,0,0
1993-94,BOS,40.6,86.1,0.472,1.7,5.8,0.289,0,0,0,0,0,0
1992-93,BOS,42.1,86.5,0.487,1.3,4.7,0.287,0,0,0,0,0,0
1991-92,BOS,43.2,87.8,0.492,1.3,4.4,0.306,0,0,0,0,0,0
1990-91,BOS,45.1,88,0.512,1.3,4.2,0.315,0,0,0,0,0,0
1989-90,BOS,43.5,87.2,0.498,1.3,4.9,0.262,0,0,0,0,0,0
1988-89,BOS,42.9,87.1,0.493,1,3.8,0.252,0,0,0,0,0,0
1987-88,BOS,43.9,84.2,0.521,3.3,8.6,0.384,0,0,0,0,0,0
1986-87,BOS,44.5,86,0.517,2.5,6.9,0.366,0,0,0,0,0,0
1985-86,BOS,45.3,89.2,0.508,1.7,4.8,0.351,0,0,0,0,0,0
1984-85,BOS,45.4,89.3,0.508,1.3,3.8,0.356,0,0,0,0,0,0
1983-84,BOS,44.1,88.2,0.5,0.7,2.8,0.24,0,0,0,0,0,0
1982-83,BOS,45.3,92,0.492,0.5,2.3,0.21,0,0,0,0,0,0
1981-82,BOS,44.6,89.4,0.499,0.6,2.2,0.266,0,0,0,0,0,0
1980-81,BOS,43.7,86.6,0.504,0.8,2.9,0.27,0,0,0,0,0,0
1979-80,BOS,44.1,90.1,0.49,2,5.1,0.384,0,0,0,0,0,0
2016-17,BRK,38,86.8,0.438,11.5,34.6,0.332,43.92,9.03,7.13,39.78,0.14,13.22
2015-16,BRK,38.2,84.4,0.453,6.5,18.4,0.352,43.68,16.32,18.1,21.68,0.23,11.66
2014-15,BRK,37.4,83,0.451,6.6,19.9,0.331,42.64,17.05,16.31,23.63,0.37,11.92
2013-14,BRK,35.7,77.9,0.459,8.6,23.4,0.369,38.48,15.45,16.01,29.69,0.38,13.09
2012-13,BRK,35.9,79.8,0.45,7.7,21.5,0.357,43.28,14.49,15.36,26.66,0.2,12.16
2011-12,NJN,34.3,80.6,0.425,7.7,22.4,0.342,35.81,15.71,20.64,27.67,0.17,13.3
2010-11,NJN,35.6,81,0.44,5.6,16.3,0.343,40.15,17.18,22.54,19.8,0.34,12.25
2009-10,NJN,34.3,79.9,0.429,4.6,14.5,0.318,42.58,16.62,22.67,17.92,0.22,11.03
2008-09,NJN,35.7,79.7,0.448,8,21.2,0.376,38.61,13.34,21.56,26.3,0.18,12.45
2007-08,NJN,34.8,78.7,0.443,6.1,17.4,0.348,41.01,11.22,25.58,21.74,0.45,12.06
2006-07,NJN,35.5,77.8,0.457,7.4,20.4,0.363,39.93,9.86,23.98,26.02,0.2,12.49
2005-06,NJN,33.9,77,0.44,5.8,17.6,0.33,38.55,12.93,25.71,22.49,0.32,12.53
2004-05,NJN,33.6,78.3,0.429,5.3,14.7,0.362,36.43,15.11,29.8,18.39,0.27,12.53
2003-04,NJN,34.3,77.7,0.441,4.6,13.7,0.336,41.26,14.39,26.74,17.31,0.3,11.53
2002-03,NJN,35.4,80.3,0.441,4.2,12.7,0.332,43.28,15.2,25.8,15.52,0.2,10.96
2001-02,NJN,37.1,83.1,0.446,4.9,14.6,0.338,42.15,17.39,22.98,17.11,0.38,11.24
2000-01,NJN,33.9,79.9,0.425,4.4,13.2,0.333,41.63,17.54,24.29,16.29,0.24,11.27
1999-00,NJN,36.3,83.9,0.433,5.8,16.8,0.347,38.38,13.57,28.16,19.74,0.15,12.27
1998-99,NJN,33.8,83.2,0.406,4.5,13.6,0.331,40.86,15.81,26.87,16.3,0.15,11.55
1997-98,NJN,37.3,84.5,0.441,3.8,11.4,0.331,41.99,20.5,24.1,13.21,0.2,10.76
1996-97,NJN,36.5,86.5,0.422,5.9,16.7,0.353,42.63,21.44,24.81,10.97,0.16,10.49
1995-96,NJN,35.1,82.3,0.427,3,9.1,0.335,0,0,0,0,0,0
1994-95,NJN,35.8,82.2,0.436,5,15.8,0.319,0,0,0,0,0,0
1993-94,NJN,38.6,86.8,0.445,2.7,8.3,0.327,0,0,0,0,0,0
1992-93,NJN,39.9,86.4,0.462,1.9,6,0.318,0,0,0,0,0,0
1991-92,NJN,42.4,92.4,0.458,2.7,8.2,0.334,0,0,0,0,0,0
1990-91,NJN,40.4,91,0.444,2,7.1,0.275,0,0,0,0,0,0
1989-90,NJN,38.5,90.4,0.426,1.7,6.2,0.277,0,0,0,0,0,0
